hashtag,frequency,category,sentiment
mlb,10,Other,Neutral
amazing,10,Other,Positive
custom,10,Other,Neutral
challenge,10,Other,Neutral
live,10,Other,Positive
software,10,Other,Neutral
ps,10,Other,Neutral
globalnews,10,News & Politics,Neutral
bigboss,10,Other,Neutral
men,10,Other,Neutral
pakistan,10,Other,Neutral
motivationdaily,10,Other,Neutral
cash,10,Other,Neutral
rock,10,Other,Neutral
merrychristmas,10,Other,Neutral
kitchen,10,Other,Neutral
deepthought,10,Other,Neutral
lasvegas,10,Other,Neutral
mindsetgrowth,10,Other,Neutral
australia,10,Other,Neutral
bboy,10,Other,Neutral
ecom,10,Other,Neutral
students,10,Other,Neutral
newsupdate,10,News & Politics,Neutral
throwback,10,Other,Neutral
support,10,Other,Neutral
marketingdigital,10,Other,Neutral
branding,10,Other,Neutral
weddings,10,Other,Neutral
karate,10,Other,Neutral
ad,10,Other,Neutral
newpost,10,Other,Neutral
smile,10,Other,Positive
actor,10,Other,Neutral
mom,10,Other,Neutral
successquotes,9,Other,Neutral
lipgloss,9,Other,Neutral
dayinmylife,9,Other,Neutral
lipboss,9,Other,Neutral
beach,9,Other,Neutral
makeuplover,9,Beauty & Personal Care,Neutral
moto,9,Other,Neutral
hyderabad,9,Other,Neutral
designinspiration,9,Other,Neutral
abstractart,9,Other,Neutral
socialmediamarketing,9,Other,Neutral
naturelover,9,Other,Neutral
hiphop,9,Other,Neutral
carculture,9,Other,Neutral
daily,9,Other,Neutral
gratitude,9,Other,Neutral
night,9,Other,Neutral
sun,9,Other,Neutral
manicure,9,Other,Neutral
arcraiders,9,Other,Neutral
views,9,Other,Neutral
focus,9,Other,Neutral
interiorstyling,9,Other,Neutral
tvshow,9,Other,Neutral
ufcfightpass,9,Other,Neutral
interiordecor,9,Home & Interior,Neutral
keşfet,9,Other,Neutral
ocean,9,Other,Neutral
counterstrike,9,Other,Neutral
racecar,9,Other,Neutral
lovers,9,Other,Neutral
uk,9,Other,Neutral
house,9,Other,Neutral
callofduty,9,Other,Neutral
soccer,9,Other,Neutral
newreels,9,Other,Neutral
digitalartist,9,Other,Neutral
london,9,Other,Neutral
catlife,9,Other,Neutral
senegencedistributor,9,Other,Neutral
lipstik,9,Other,Neutral
amazonfinds,9,Other,Neutral
writersofinstagram,9,Other,Neutral
petlovers,9,Other,Neutral
fanart,9,Other,Neutral
bikelovers,9,Other,Neutral
instagaming,9,Other,Neutral
babygirl,9,Other,Neutral
mensfashion,9,Fashion,Neutral
setup,9,Other,Neutral
instafashion,9,Fashion,Neutral
relationshipgoals,9,Other,Neutral
gamedev,9,Other,Neutral
gamereview,9,Other,Neutral
mixedmartialarts,9,Other,Neutral
kosmetikviral,9,Other,Neutral
fanpage,9,Other,Neutral
coffee,9,Other,Neutral
gameart,9,Other,Neutral
exam,9,News & Politics,Neutral
judo,9,Other,Neutral
lipsmatte,9,Other,Neutral
kumarneeraj,9,Other,Neutral
psychology,9,Other,Neutral
bookworm,9,Other,Neutral
russia,9,Other,Neutral
bjj,9,Other,Neutral
children,9,Other,Neutral
satire,9,Other,Neutral
mercedes,9,Other,Neutral
powerlips,9,Other,Neutral
enjoy,9,Other,Positive
meow,9,Other,Neutral
tekken,9,Other,Neutral
puppy,9,Other,Neutral
homeinspo,9,Other,Neutral
respect,9,Other,Neutral
weddingday,9,Other,Neutral
newyork,9,Other,Neutral
ia,9,Other,Neutral
chef,9,Other,Neutral
attitude,9,Other,Neutral
biggboss,9,Other,Neutral
lipsticklover,9,Other,Neutral
dating,9,Other,Neutral
memepage,9,Other,Neutral
technews,9,Technology,Neutral
blendertutorial,9,Other,Neutral
fypreelsシ゚,9,Other,Neutral
view,9,Other,Neutral
career,9,Other,Neutral
haha,9,Other,Positive
unitedstates,9,Other,Neutral
waterproofmakeup,9,Beauty & Personal Care,Neutral
shadowsense,9,Other,Neutral
delicious,9,Other,Positive
forextrader,9,Other,Neutral
fblifestyle,9,Fashion,Neutral
videoviral,9,Other,Neutral
leadership,9,Other,Neutral
gadget,9,Other,Neutral
instalove,9,Other,Neutral
instagramgrowth,9,Other,Neutral
cozy,9,Other,Negative
dayinthelife,9,Other,Neutral
carphotography,9,Other,Neutral
loveyou,8,Other,Neutral
truth,8,Other,Neutral
mindfulness,8,Other,Neutral
animeband,8,Other,Neutral
engineering,8,Other,Neutral
abs,8,Other,Neutral
contentmarketing,8,Other,Neutral
confidence,8,Other,Neutral
zodiacsigns,8,Other,Neutral
blog,8,Other,Neutral
details1m,8,Other,Neutral
bikeride,8,Other,Neutral
ias,8,Other,Neutral
xboxone,8,Other,Neutral
sportscar,8,Other,Neutral
toysellers,8,Other,Neutral
portrait,8,Other,Neutral
telangana,8,Other,Neutral
romantic,8,Other,Neutral
chennai,8,Other,Neutral
magicthegathering,8,Other,Neutral
vrgaming,8,Other,Neutral
cosers,8,Other,Neutral
tipsensedistributor,8,Other,Neutral
pcsetup,8,Other,Neutral
toybazaars,8,Other,Neutral
cs2,8,Other,Neutral
junkjournal,8,Other,Neutral
old,8,Other,Positive
senegencei,8,Other,Neutral
journal,8,Other,Neutral
pantoja,8,Other,Neutral
yum,8,Other,Neutral
body,8,Other,Neutral
toyconvention,8,Other,Neutral
naildesign,8,Other,Neutral
gamingmemes,8,Other,Neutral
mysenelook,8,Other,Neutral
pregnancy,8,Other,Neutral
currentevents,8,Other,Neutral
bikerlife,8,Other,Neutral
medicine,8,Other,Neutral
videography,8,Other,Neutral
meditation,8,Other,Neutral
humanity,8,Other,Neutral
salon,8,Other,Neutral
audi,8,Other,Neutral
krishna,8,Other,Neutral
fatloss,8,Other,Neutral
cardgames,8,Gaming,Neutral
disney,8,Other,Neutral
lipmatte,8,Other,Neutral
portraitphotography,8,Other,Neutral
andnew,8,Other,Neutral
funnygaming,8,Other,Neutral
ktm,8,Other,Neutral
upsc,8,Other,Neutral
bigdata,8,Other,Neutral
zodiac,8,Other,Neutral
gamingreels,8,Other,Neutral
skit,8,Other,Neutral
maincard,8,Other,Neutral
animalphotography,8,Pets & Animals,Neutral
animesingingcontest,8,Other,Neutral
vtuber,8,Other,Neutral
80s,8,Other,Neutral
couplelove,8,Other,Neutral
lipstikhalal,8,Other,Neutral
cristianoronaldo,8,Other,Neutral
spotifywrapped,8,Other,Neutral
fypp,8,Other,Neutral
computer,8,Other,Neutral
trends,8,Other,Neutral
pcbuild,8,Other,Neutral
electronics,8,Other,Neutral
smudgeproof20m,8,Other,Neutral
trendingvideo,8,Other,Neutral
christmasseason,8,Other,Neutral
setupinspiration,8,Other,Neutral
travelling,8,Travel & Nature,Neutral
maga,8,Other,Neutral
nissan,8,Other,Neutral
businesswoman,8,Other,Neutral
mindsetmatters,8,Other,Neutral
babies,8,Other,Neutral
kittens,8,Other,Neutral
uffighter,8,Other,Neutral
kittensofinstagram,8,Other,Neutral
alone,8,Other,Neutral
kpop,8,Other,Neutral
toyexhibits,8,Other,Neutral
offroad,8,Other,Neutral
gamersunite,8,Other,Neutral
passion,8,Other,Neutral
french,8,Other,Neutral
groomer,8,Other,Neutral
gamingaddict,8,Other,Neutral
china,8,Other,Neutral
breakfast,8,Other,Neutral
console,8,Other,Neutral
vlogger,8,Other,Neutral
bitcoin,8,Other,Neutral
homestyle,8,Fashion,Neutral
strangerthings5,8,Other,Neutral
deeplearning,8,Other,Neutral
studying,8,Other,Neutral
energy,8,Other,Neutral
deportes,8,Other,Neutral
likesforlike,8,Other,Neutral
petsofinstagram,8,Other,Neutral
ssc,8,Other,Neutral
nevada,8,Other,Neutral
cyclinglife,8,Other,Neutral
stem,8,Other,Neutral
runnersofinstagram,8,Other,Neutral
blackfriday,8,Other,Neutral
personaltrainer,8,Other,Neutral
muaythai,8,Other,Neutral
bikers,8,Other,Neutral
ppv,8,Other,Neutral
malconph,8,Other,Neutral
toyauction,8,Other,Neutral
ufcppv,8,Other,Neutral
andstill,8,Other,Neutral
instabike,8,Other,Neutral
carporn,8,Other,Neutral
gujrat,8,Other,Neutral
malcon2025,8,Other,Neutral
iraq,8,Other,Neutral
rider,8,Other,Neutral
instacat,8,Other,Neutral
casino,8,Other,Neutral
pinklipstic12m,7,Other,Neutral
simracing,7,Other,Neutral
ukgamer,7,Other,Neutral
mumbaiganpati,7,Other,Neutral
kingdomhearts,7,Other,Neutral
marvel,7,Other,Neutral
willbyers,7,Other,Neutral
motogp,7,Other,Neutral
viralmemes,7,Other,Neutral
wweraw,7,Other,Neutral
carlovers,7,Other,Neutral
quote,7,Other,Neutral
engineer,7,Other,Neutral
